trial,stim,likert_flipped,presented_intensity
0,catch_trial_white_2,False,
1,checkerboard_separate,True,0.51
2,catch_trial_white_5,False,
3,sbc_separate,True,0.51
4,catch_trial_black_2,False,
5,whites,False,0.5
6,catch_trial_white_3,False,
7,checkerboard_separate,False,0.51
8,catch_trial_black_4,False,
9,strip,False,0.49
10,catch_trial_black_3,False,
11,whites,True,0.5
12,catch_trial_black_5,False,
13,bullseye_low_separate,True,0.49
14,catch_trial_white_4,False,
15,sbc_separate,False,0.51
16,catch_trial_black_1,False,
17,sbc,False,0.49
18,catch_trial_white_1,False,
19,bullseye_high_freq,True,0.5
20,sbc,True,0.49
21,bullseye_low_separate,False,0.49
22,checkerboard,False,0.5
23,bullseye_high_freq,False,0.5
24,whites_separate,True,0.51
25,strip,True,0.49
26,checkerboard,True,0.5
27,whites_separate,False,0.51
