trial,stim,likert_flipped,presented_intensity
0,catch_trial_5_white_both,False,
1,checkerboard_separate,True,0.49
2,catch_trial_3_black_both,False,
3,sbc,True,0.5
4,catch_trial_4_white_both,False,
5,sbc_separate,True,0.49
6,catch_trial_1_black_both,False,
7,sbc,False,0.5
8,catch_trial_3_white_both,False,
9,whites,True,0.51
10,catch_trial_2_white_both,False,
11,bullseye_low_separate,True,0.5
12,catch_trial_2_black_both,False,
13,bullseye_low_separate,False,0.5
14,catch_trial_4_black_both,False,
15,whites,False,0.51
16,catch_trial_5_black_both,False,
17,whites_separate,True,0.49
18,catch_trial_1_white_both,False,
19,whites_separate,False,0.49
20,strip,True,0.5
21,checkerboard,False,0.51
22,checkerboard_separate,False,0.49
23,sbc_separate,False,0.49
24,bullseye_high_freq,False,0.51
25,bullseye_high_freq,True,0.51
26,checkerboard,True,0.51
27,strip,False,0.5
