trial,stim,likert_flipped,presented_intensity
0,catch_trial_1_white_both,False,
1,bullseye_low_separate,True,0.49
2,catch_trial_1_black_both,False,
3,sbc_separate,False,0.51
4,catch_trial_4_black_both,False,
5,checkerboard,False,0.5
6,catch_trial_3_black_both,False,
7,bullseye_low_separate,False,0.49
8,catch_trial_5_white_both,False,
9,whites,False,0.5
10,catch_trial_5_black_both,False,
11,sbc,True,0.49
12,catch_trial_4_white_both,False,
13,checkerboard,True,0.5
14,catch_trial_3_white_both,False,
15,checkerboard_separate,False,0.51
16,catch_trial_2_white_both,False,
17,checkerboard_separate,True,0.51
18,catch_trial_2_black_both,False,
19,strip,True,0.49
20,bullseye_high_freq,True,0.5
21,sbc_separate,True,0.51
22,sbc,False,0.49
23,whites,True,0.5
24,strip,False,0.49
25,bullseye_high_freq,False,0.5
26,whites_separate,False,0.51
27,whites_separate,True,0.51
